	
FEATURE	,gain	
feature_2571	,378.532405
feature_988	,464.744948
feature_1471	,268.309649
feature_1646	,1134.547314
feature_527	,342.418127
feature_632	,311.184202
feature_1044	,335.085388
feature_1574	,230.940364
feature_666	,230.73857
feature_1715	,136.336021
feature_3806	,186.39211
feature_3254	,225.931369
feature_1577	,176.744211
feature_613	,175.151924
feature_3801	,158.894528
feature_1639	,235.304834
feature_2622	,511.817134
feature_1074	,346.320146
feature_1175	,128.368687
feature_1629	,140.746302
feature_2758	,264.202934
feature_1627	,190.733893
feature_1613	,153.324309
feature_1538	,219.707582
feature_1544	,170.226777
feature_750	,158.481286
feature_1275	,310.018125
feature_1232	,122.330174
feature_317	,219.845225
feature_3311	,179.733932
feature_720	,157.585892
feature_1615	,149.27957
feature_2019	,162.345914
feature_792	,186.918079
feature_1572	,136.357402
feature_1682	,153.254797
feature_823	,522.73276
feature_1674	,166.293179
feature_257	,150.928588
feature_3788	,142.925691
feature_2105	,226.377557
feature_1618	,262.924982
feature_2644	,106.117557
feature_654	,117.592918
feature_110	,159.863006
feature_3248	,458.786496
feature_3206	,119.81455
feature_1683	,147.796294
feature_1029	,151.061321
feature_1638	,166.371323
feature_1464	,173.462648
feature_244	,105.31618
feature_1898	,120.695796
feature_1790	,169.786675
feature_616	,206.572646
feature_2099	,112.196656
feature_3750	,121.734671
feature_1995	,65.386739
feature_2133	,66.28709
feature_1837	,75.877731
feature_1375	,69.153546

