,weight,gain,cover,total_gain,total_cover
feature_0,1.0,1.5364456176757812,241.32879638671875,1.5364456176757812,241.32879638671875
feature_1,5.0,1.6118724346160889,124.42747497558594,8.059362411499023,622.1373901367188
feature_5,2.0,2.5333240032196045,303.77825927734375,5.066648006439209,607.5565185546875
feature_6,2.0,2.82446551322937,211.63442993164062,5.64893102645874,423.26885986328125
feature_7,1.0,0.0027354955673217773,6.091640949249268,0.0027354955673217773,6.091640949249268
feature_15,1.0,0.5101597309112549,8.268059730529785,0.5101597309112549,8.268059730529785
feature_16,2.0,3.578469753265381,279.65936279296875,7.156939506530762,559.3187255859375
feature_18,2.0,1.7494418621063232,15.658285140991211,3.4988837242126465,31.316570281982422
feature_19,3.0,5.8225321769714355,494.3758239746094,17.46759605407715,1483.12744140625
feature_20,1.0,2.998792886734009,12.326330184936523,2.998792886734009,12.326330184936523
feature_22,1.0,6.197118759155273,826.4457397460938,6.197118759155273,826.4457397460938
feature_23,1.0,2.8773229122161865,317.31146240234375,2.8773229122161865,317.31146240234375
feature_25,3.0,2.090918779373169,282.3005065917969,6.272756099700928,846.9014892578125
feature_30,1.0,1.7285789251327515,220.52052307128906,1.7285789251327515,220.52052307128906
feature_33,1.0,2.4388368129730225,544.39111328125,2.4388368129730225,544.39111328125
feature_35,1.0,4.560271739959717,301.98016357421875,4.560271739959717,301.98016357421875
feature_39,1.0,1.4780254364013672,236.67469787597656,1.4780254364013672,236.67469787597656
feature_41,2.0,2.6118178367614746,23.3162784576416,5.223635673522949,46.6325569152832
feature_46,1.0,2.43082594871521,203.9349365234375,2.43082594871521,203.9349365234375
feature_47,1.0,1.0032827854156494,19.866771697998047,1.0032827854156494,19.866771697998047
feature_52,1.0,2.9258055686950684,15.109328269958496,2.9258055686950684,15.109328269958496
feature_54,1.0,0.21284079551696777,7.560911178588867,0.21284079551696777,7.560911178588867
feature_57,1.0,8.586779594421387,30.456424713134766,8.586779594421387,30.456424713134766
feature_59,1.0,1.7399439811706543,38.15008544921875,1.7399439811706543,38.15008544921875
feature_75,4.0,4.602405548095703,410.2960205078125,18.409622192382812,1641.18408203125
feature_76,1.0,2.5454063415527344,195.17942810058594,2.5454063415527344,195.17942810058594
feature_78,1.0,3.305391550064087,279.4225769042969,3.305391550064087,279.4225769042969
feature_80,1.0,10.971025466918945,9.457722663879395,10.971025466918945,9.457722663879395
feature_92,2.0,1.196748971939087,25.828149795532227,2.393497943878174,51.65629959106445
feature_94,5.0,5.20092248916626,398.01727294921875,26.00461196899414,1990.08642578125
feature_95,1.0,1.280430555343628,23.97969627380371,1.280430555343628,23.97969627380371
feature_96,2.0,6.908504486083984,475.35809326171875,13.817008972167969,950.7161865234375
feature_100,2.0,4.281490325927734,358.5902404785156,8.562980651855469,717.1804809570312
feature_102,2.0,3.573713541030884,118.67835998535156,7.147427082061768,237.35671997070312
feature_106,1.0,16.94658660888672,107.38993072509766,16.94658660888672,107.38993072509766
feature_107,1.0,2.7046236991882324,170.4183349609375,2.7046236991882324,170.4183349609375
feature_110,4.0,22.576353073120117,444.2579345703125,90.30541229248047,1777.03173828125
feature_111,1.0,2.5373785495758057,66.87051391601562,2.5373785495758057,66.87051391601562
feature_116,2.0,0.3287505507469177,13.933300018310547,0.6575011014938354,27.866600036621094
feature_120,1.0,1.4330933094024658,18.085554122924805,1.4330933094024658,18.085554122924805
feature_121,1.0,0.15285396575927734,15.603551864624023,0.15285396575927734,15.603551864624023
feature_123,1.0,0.9193754196166992,6.9487433433532715,0.9193754196166992,6.9487433433532715
feature_124,1.0,8.314534187316895,370.63897705078125,8.314534187316895,370.63897705078125
feature_126,1.0,0.5971856117248535,11.500675201416016,0.5971856117248535,11.500675201416016
feature_133,1.0,12.458688735961914,55.37614059448242,12.458688735961914,55.37614059448242
feature_134,2.0,2.594191312789917,16.420124053955078,5.188382625579834,32.840248107910156
feature_138,1.0,1.9407094717025757,24.716251373291016,1.9407094717025757,24.716251373291016
feature_139,1.0,16.785194396972656,7.875,16.785194396972656,7.875
feature_142,2.0,3.4883434772491455,155.29640197753906,6.976686954498291,310.5928039550781
feature_144,2.0,5.473394393920898,53.37721252441406,10.946788787841797,106.75442504882812
feature_145,2.0,3.7111270427703857,148.2524871826172,7.4222540855407715,296.5049743652344
feature_152,1.0,0.8026331663131714,14.70177173614502,0.8026331663131714,14.70177173614502
feature_153,1.0,1.527947187423706,18.243635177612305,1.527947187423706,18.243635177612305
feature_154,1.0,7.270814418792725,845.3078002929688,7.270814418792725,845.3078002929688
feature_155,2.0,1.8570359945297241,52.54297637939453,3.7140719890594482,105.08595275878906
feature_159,1.0,4.454923629760742,88.39515686035156,4.454923629760742,88.39515686035156
feature_161,1.0,3.3562633991241455,219.64633178710938,3.3562633991241455,219.64633178710938
feature_162,1.0,3.3848495483398438,49.035274505615234,3.3848495483398438,49.035274505615234
feature_163,1.0,4.013641357421875,21.21875,4.013641357421875,21.21875
feature_164,1.0,2.9084391593933105,657.0862426757812,2.9084391593933105,657.0862426757812
feature_165,1.0,2.672430992126465,39.38426971435547,2.672430992126465,39.38426971435547
feature_167,1.0,9.868648529052734,22.20686149597168,9.868648529052734,22.20686149597168
feature_169,2.0,2.208294630050659,277.92572021484375,4.416589260101318,555.8514404296875
feature_171,1.0,3.9194908142089844,88.4655990600586,3.9194908142089844,88.4655990600586
feature_173,1.0,1.8868520259857178,33.40090560913086,1.8868520259857178,33.40090560913086
feature_176,2.0,4.800113677978516,152.75747680664062,9.600227355957031,305.51495361328125
feature_183,2.0,1.8315458297729492,74.78031158447266,3.6630916595458984,149.5606231689453
feature_189,3.0,5.901134490966797,256.6394348144531,17.70340347290039,769.9182739257812
feature_190,1.0,6.444219589233398,44.11210632324219,6.444219589233398,44.11210632324219
feature_193,1.0,27.20783042907715,125.125,27.20783042907715,125.125
feature_194,1.0,0.972545862197876,23.052154541015625,0.972545862197876,23.052154541015625
feature_199,1.0,1.7782938480377197,153.15773010253906,1.7782938480377197,153.15773010253906
feature_201,1.0,0.3199498653411865,17.278013229370117,0.3199498653411865,17.278013229370117
feature_202,1.0,1.627020001411438,192.11273193359375,1.627020001411438,192.11273193359375
feature_203,1.0,4.13510274887085,263.2042541503906,4.13510274887085,263.2042541503906
feature_209,1.0,2.9437949657440186,26.826637268066406,2.9437949657440186,26.826637268066406
feature_213,2.0,2.437265634536743,15.534860610961914,4.874531269073486,31.069721221923828
feature_217,2.0,3.4813308715820312,113.4943618774414,6.9626617431640625,226.9887237548828
feature_221,2.0,4.541365623474121,204.4242401123047,9.082731246948242,408.8484802246094
feature_224,1.0,3.4554388523101807,72.03811645507812,3.4554388523101807,72.03811645507812
feature_229,2.0,3.347266912460327,127.55477905273438,6.694533824920654,255.10955810546875
feature_231,1.0,5.948641300201416,65.64514923095703,5.948641300201416,65.64514923095703
feature_232,1.0,1.4977511167526245,28.06155776977539,1.4977511167526245,28.06155776977539
feature_234,1.0,11.888333320617676,101.15572357177734,11.888333320617676,101.15572357177734
feature_235,3.0,3.0003156661987305,372.7249450683594,9.000946998596191,1118.1748046875
feature_236,1.0,2.892378807067871,276.8890075683594,2.892378807067871,276.8890075683594
feature_237,1.0,2.0945162773132324,166.93711853027344,2.0945162773132324,166.93711853027344
feature_241,1.0,3.6359057426452637,11.844136238098145,3.6359057426452637,11.844136238098145
feature_244,2.0,16.398818969726562,20.10578155517578,32.797637939453125,40.21156311035156
feature_246,1.0,13.695542335510254,256.2469787597656,13.695542335510254,256.2469787597656
feature_250,1.0,2.6325483322143555,198.2110137939453,2.6325483322143555,198.2110137939453
feature_254,1.0,3.61028790473938,36.512351989746094,3.61028790473938,36.512351989746094
feature_256,1.0,7.7522382736206055,54.40546417236328,7.7522382736206055,54.40546417236328
feature_257,2.0,17.52510643005371,327.1860046386719,35.05021286010742,654.3720092773438
feature_261,1.0,11.304996490478516,6.34375,11.304996490478516,6.34375
feature_263,1.0,3.0030956268310547,128.42282104492188,3.0030956268310547,128.42282104492188
feature_266,2.0,4.0858941078186035,246.0382080078125,8.171788215637207,492.076416015625
feature_278,1.0,2.8352231979370117,103.24675750732422,2.8352231979370117,103.24675750732422
feature_283,1.0,8.831069946289062,348.3699035644531,8.831069946289062,348.3699035644531
feature_290,4.0,2.1748206615448,70.55381774902344,8.6992826461792,282.21527099609375
feature_291,3.0,2.868647813796997,302.92413330078125,8.60594367980957,908.7723999023438
feature_298,1.0,0.0770878791809082,7.875973701477051,0.0770878791809082,7.875973701477051
feature_300,1.0,5.782005310058594,323.1982727050781,5.782005310058594,323.1982727050781
feature_304,1.0,1.4382719993591309,9.895418167114258,1.4382719993591309,9.895418167114258
feature_308,1.0,2.528534173965454,188.46156311035156,2.528534173965454,188.46156311035156
feature_317,3.0,10.081921577453613,170.36537170410156,30.245763778686523,511.09613037109375
feature_319,1.0,2.3563034534454346,598.9629516601562,2.3563034534454346,598.9629516601562
feature_322,2.0,7.131649017333984,291.6968994140625,14.263298034667969,583.393798828125
feature_327,2.0,3.145334005355835,106.95132446289062,6.29066801071167,213.90264892578125
feature_328,2.0,1.9137433767318726,60.72062683105469,3.827486753463745,121.44125366210938
feature_329,1.0,0.7948577404022217,10.983915328979492,0.7948577404022217,10.983915328979492
feature_335,1.0,1.5037592649459839,18.653553009033203,1.5037592649459839,18.653553009033203
feature_336,1.0,8.394628524780273,30.221609115600586,8.394628524780273,30.221609115600586
feature_337,1.0,1.93101966381073,44.17604064941406,1.93101966381073,44.17604064941406
feature_339,1.0,3.005321502685547,45.16500473022461,3.005321502685547,45.16500473022461
feature_349,2.0,3.60898756980896,90.87677001953125,7.21797513961792,181.7535400390625
feature_354,2.0,2.506527900695801,292.3865051269531,5.013055801391602,584.7730102539062
feature_355,1.0,3.6601200103759766,83.89107513427734,3.6601200103759766,83.89107513427734
feature_358,2.0,2.087801933288574,127.22731018066406,4.175603866577148,254.45462036132812
feature_360,1.0,8.078697204589844,270.2057800292969,8.078697204589844,270.2057800292969
feature_366,1.0,0.1560612916946411,7.182960510253906,0.1560612916946411,7.182960510253906
feature_371,1.0,3.4224891662597656,57.72492218017578,3.4224891662597656,57.72492218017578
feature_373,2.0,11.283663749694824,125.74946594238281,22.56732749938965,251.49893188476562
feature_375,1.0,2.5586657524108887,28.54483413696289,2.5586657524108887,28.54483413696289
feature_377,2.0,2.707883834838867,40.191585540771484,5.415767669677734,80.38317108154297
feature_378,1.0,1.9450340270996094,33.76527404785156,1.9450340270996094,33.76527404785156
feature_381,3.0,3.36114501953125,196.72499084472656,10.08343505859375,590.1749877929688
feature_382,1.0,4.4727091789245605,228.3610382080078,4.4727091789245605,228.3610382080078
feature_383,1.0,0.13877367973327637,9.859368324279785,0.13877367973327637,9.859368324279785
feature_392,1.0,0.1190640926361084,14.613641738891602,0.1190640926361084,14.613641738891602
feature_394,3.0,2.1058528423309326,173.44935607910156,6.317558288574219,520.3480834960938
feature_398,1.0,3.516545534133911,230.17872619628906,3.516545534133911,230.17872619628906
feature_403,1.0,0.7989315986633301,9.095895767211914,0.7989315986633301,9.095895767211914
feature_404,1.0,2.160722494125366,42.6273078918457,2.160722494125366,42.6273078918457
feature_412,1.0,7.263524532318115,331.4483337402344,7.263524532318115,331.4483337402344
feature_413,1.0,2.3458967208862305,105.18231201171875,2.3458967208862305,105.18231201171875
feature_419,1.0,2.2282490730285645,18.67422103881836,2.2282490730285645,18.67422103881836
feature_423,1.0,1.5624781847000122,21.265146255493164,1.5624781847000122,21.265146255493164
feature_426,1.0,0.5744739174842834,7.729062080383301,0.5744739174842834,7.729062080383301
feature_428,2.0,2.720675468444824,57.575103759765625,5.441350936889648,115.15020751953125
feature_433,1.0,6.869852542877197,400.5400695800781,6.869852542877197,400.5400695800781
feature_436,1.0,6.083521366119385,162.59161376953125,6.083521366119385,162.59161376953125
feature_442,2.0,1.6627147197723389,32.546165466308594,3.3254294395446777,65.09233093261719
